Shinydex,Shiny Formdex,Location pick,Location,ID,Pokemon,#
,FALSE,No,No,74_a,Alolan Geodude,
FALSE,FALSE,No,No,75,Graveler,0075
,FALSE,No,No,75_a,Alolan Graveler,
FALSE,FALSE,No,No,76,Golem,0076
,FALSE,No,No,76_a,Alolan Golem,
FALSE,FALSE,No,No,77,Ponyta,0077
,FALSE,No,No,77_g,Galarian Ponyta,
FALSE,FALSE,No,No,78,Rapidash,0078
,FALSE,No,No,78_g,Galarian Rapidash,
FALSE,FALSE,No,No,79,Slowpoke,0079
,FALSE,No,No,79_g,Galarian Slowpoke,
FALSE,FALSE,No,No,80,Slowbro,0080
,FALSE,No,No,80_g,Galarian Slowbro,
FALSE,FALSE,No,No,81,Magnemite,0081
FALSE,FALSE,No,No,82,Magneton,0082
FALSE,FALSE,No,No,83,Farfetch'd,0083
,FALSE,No,No,83_g,Galarian Farfetch'd,
FALSE,FALSE,No,No,84_m,Doduo ♂,0084
,FALSE,No,No,84_f,Doduo ♀,
FALSE,FALSE,No,No,85_m,Dodrio ♂,0085
,FALSE,No,No,85_f,Dodrio ♀,
FALSE,FALSE,No,No,86,Seel,0086
FALSE,FALSE,No,No,87,Dewgong,0087
FALSE,FALSE,No,No,88,Grimer,0088
,FALSE,No,No,88_a,Alolan Grimer,
FALSE,FALSE,No,No,89,Muk,0089
,FALSE,No,No,89_a,Alolan Muk,
FALSE,FALSE,No,No,90,Shellder,0090
FALSE,FALSE,No,No,91,Cloyster,0091
FALSE,FALSE,No,No,92,Gastly,0092
FALSE,FALSE,No,No,93,Haunter,0093
FALSE,FALSE,No,No,94,Gengar,0094
FALSE,FALSE,No,No,95,Onix,0095
FALSE,FALSE,No,No,96,Drowzee,0096
FALSE,FALSE,No,No,97_m,Hypno ♂,0097
,FALSE,No,No,97_f,Hypno ♀,
FALSE,FALSE,No,No,98,Krabby,0098
FALSE,FALSE,No,No,99,Kingler,0099
FALSE,FALSE,No,No,100,Voltorb,0100
,FALSE,No,No,100_h,Hisuian Voltorb,
FALSE,FALSE,No,No,101,Electrode,0101
,FALSE,No,No,101_h,Hisuian Electrode,
FALSE,FALSE,No,No,102,Exeggcute,0102
FALSE,FALSE,No,No,103,Exeggutor,0103
,FALSE,No,No,103_a,Alolan Exeggutor,
FALSE,FALSE,No,No,104,Cubone,0104
FALSE,FALSE,No,No,105,Marowak,0105
,FALSE,No,No,105_a,Alolan Marowak,
FALSE,FALSE,No,No,106,Hitmonlee,0106
FALSE,FALSE,No,No,107,Hitmonchan,0107
FALSE,FALSE,No,No,108,Lickitung,0108
FALSE,FALSE,No,No,109,Koffing,0109
FALSE,FALSE,No,No,110,Weezing,0110
,FALSE,No,No,110_g,Galarian Weezing,
FALSE,FALSE,No,No,111_m,Rhyhorn ♂,0111
,FALSE,No,No,111_f,Rhyhorn ♀,
FALSE,FALSE,No,No,112_m,Rhydon ♂,0112
,FALSE,No,No,112_f,Rhydon ♀,
FALSE,FALSE,No,No,113,Chansey,0113
FALSE,FALSE,No,No,114,Tangela,0114
FALSE,FALSE,No,No,115,Kangaskhan,0115
FALSE,FALSE,No,No,116,Horsea,0116
FALSE,FALSE,No,No,117,Seadra,0117
FALSE,FALSE,No,No,118_m,Goldeen ♂,0118
,FALSE,No,No,118_f,Goldeen ♀,
FALSE,FALSE,No,No,119_m,Seaking ♂,0119
,FALSE,No,No,119_f,Seaking ♀,
FALSE,FALSE,No,No,120,Staryu,0120
FALSE,FALSE,No,No,121,Starmie,0121
FALSE,FALSE,No,No,122,Mr. Mime,0122
,FALSE,No,No,122_g,Galarian Mr. Mime,
FALSE,FALSE,No,No,123_m,Scyther ♂,0123
,FALSE,No,No,123_f,Scyther ♀,
FALSE,FALSE,No,No,124,Jynx,0124
FALSE,FALSE,No,No,125,Electabuzz,0125
FALSE,FALSE,No,No,126,Magmar,0126
FALSE,FALSE,No,No,127,Pinsir,0127
FALSE,FALSE,No,No,128,Tauros,0128
,FALSE,No,No,128_p,Paldean Tauros,
,FALSE,No,No,128_pb,Paldean Blaze Tauros,
,FALSE,No,No,128_pa,Paldean Aqua Tauros,
FALSE,FALSE,No,No,129_m,Magikarp ♂,0129
,FALSE,No,No,129_f,Magikarp ♀,
FALSE,FALSE,No,No,130_m,Gyarados ♂,0130
,FALSE,No,No,130_f,Gyarados ♀,
FALSE,FALSE,No,No,131,Lapras,0131
FALSE,FALSE,No,No,132,Ditto,0132
FALSE,FALSE,No,No,133_m,Eevee ♂,0133
,FALSE,No,No,133_f,Eevee ♀,
FALSE,FALSE,No,No,134,Vaporeon,0134
FALSE,FALSE,No,No,135,Jolteon,0135
FALSE,FALSE,No,No,136,Flareon,0136
FALSE,FALSE,No,No,137,Porygon,0137
FALSE,FALSE,No,No,138,Omanyte,0138
FALSE,FALSE,No,No,139,Omastar,0139
FALSE,FALSE,No,No,140,Kabuto,0140
FALSE,FALSE,No,No,141,Kabutops,0141
FALSE,FALSE,No,No,142,Aerodactyl,0142
FALSE,FALSE,No,No,143,Snorlax,0143
FALSE,FALSE,No,No,144,Articuno,0144
,FALSE,No,No,144_g,Galarian Articuno,
FALSE,FALSE,No,No,145,Zapdos,0145
,FALSE,No,No,145_g,Galarian Zapdos,
FALSE,FALSE,No,No,146,Moltres,0146
,FALSE,No,No,146_g,Galarian Moltres,
FALSE,FALSE,No,No,147,Dratini,0147
FALSE,FALSE,No,No,148,Dragonair,0148
FALSE,FALSE,No,No,149,Dragonite,0149
FALSE,FALSE,No,No,150,Mewtwo,0150
FALSE,FALSE,No,No,151,Mew,0151
FALSE,FALSE,No,No,152,Chikorita,0152
FALSE,FALSE,No,No,153,Bayleef,0153
FALSE,FALSE,No,No,154_m,Meganium ♂,0154
,FALSE,No,No,154_f,Meganium ♀,
FALSE,FALSE,No,No,155,Cyndaquil,0155
FALSE,FALSE,No,No,156,Quilava,0156
FALSE,FALSE,No,No,157,Typhlosion,0157
,FALSE,No,No,157_h,Hisuian Typhlosion,
FALSE,FALSE,No,No,158,Totodile,0158
FALSE,FALSE,No,No,159,Croconaw,0159
FALSE,FALSE,No,No,160,Feraligatr,0160
FALSE,FALSE,No,No,161,Sentret,0161
FALSE,FALSE,No,No,162,Furret,0162
FALSE,FALSE,No,No,163,Hoothoot,0163
FALSE,FALSE,No,No,164,Noctowl,0164
FALSE,FALSE,No,No,165_m,Ledyba ♂,0165
,FALSE,No,No,165_f,Ledyba ♀,
FALSE,FALSE,No,No,166_m,Ledian ♂,0166
,FALSE,No,No,166_f,Ledian ♀,
FALSE,FALSE,No,No,167,Spinarak,0167
FALSE,FALSE,No,No,168,Ariados,0168
FALSE,FALSE,No,No,169,Crobat,0169
FALSE,FALSE,No,No,170,Chinchou,0170
FALSE,FALSE,No,No,171,Lanturn,0171
FALSE,FALSE,No,No,172,Pichu,0172
FALSE,FALSE,No,No,173,Cleffa,0173
FALSE,FALSE,No,No,174,Igglybuff,0174
FALSE,FALSE,No,No,175,Togepi,0175
FALSE,FALSE,No,No,176,Togetic,0176
FALSE,FALSE,No,No,177,Natu,0177
FALSE,FALSE,No,No,178_m,Xatu ♂,0178
,FALSE,No,No,178_f,Xatu ♀,
FALSE,FALSE,No,No,179,Mareep,0179
FALSE,FALSE,No,No,180,Flaaffy,0180
FALSE,FALSE,No,No,181,Ampharos,0181
FALSE,FALSE,No,No,182,Bellossom,0182
FALSE,FALSE,No,No,183,Marill,0183
FALSE,FALSE,No,No,184,Azumarill,0184
FALSE,FALSE,No,No,185_m,Sudowoodo ♂,0185
,FALSE,No,No,185_f,Sudowoodo ♀,
FALSE,FALSE,No,No,186_m,Politoed ♂,0186
,FALSE,No,No,186_f,Politoed ♀,
FALSE,FALSE,No,No,187,Hoppip,0187
FALSE,FALSE,No,No,188,Skiploom,0188
FALSE,FALSE,No,No,189,Jumpluff,0189
FALSE,FALSE,No,No,190_m,Aipom ♂,0190
,FALSE,No,No,190_f,Aipom ♀,
FALSE,FALSE,No,No,191,Sunkern,0191
FALSE,FALSE,No,No,192,Sunflora,0192
FALSE,FALSE,No,No,193,Yanma,0193
FALSE,FALSE,No,No,194_m,Wooper ♂,0194
,FALSE,No,No,194_f,Wooper ♀,
,FALSE,No,No,194_p,Paldean Wooper,
FALSE,FALSE,No,No,195_m,Quagsire ♂,0195
,FALSE,No,No,195_f,Quagsire ♀,
FALSE,FALSE,No,No,196,Espeon,0196
FALSE,FALSE,No,No,197,Umbreon,0197
FALSE,FALSE,No,No,198_m,Murkrow ♂,0198
,FALSE,No,No,198_f,Murkrow ♀,
FALSE,FALSE,No,No,199,Slowking,0199
,FALSE,No,No,199_g,Galarian Slowking,
FALSE,FALSE,No,No,200,Misdreavus,0200
FALSE,FALSE,No,No,201_a,Unown A,0201
,FALSE,No,No,201_b,Unown B,
,FALSE,No,No,201_c,Unown C,
,FALSE,No,No,201_d,Unown D,
,FALSE,No,No,201_e,Unown E,
,FALSE,No,No,201_f,Unown F,
,FALSE,No,No,201_g,Unown G,
,FALSE,No,No,201_h,Unown H,
,FALSE,No,No,201_i,Unown I,
,FALSE,No,No,201_j,Unown J,
,FALSE,No,No,201_k,Unown K,
,FALSE,No,No,201_l,Unown L,
,FALSE,No,No,201_m,Unown M,
,FALSE,No,No,201_n,Unown N,
,FALSE,No,No,201_o,Unown O,
,FALSE,No,No,201_p,Unown P,
,FALSE,No,No,201_q,Unown Q,
,FALSE,No,No,201_r,Unown R,
,FALSE,No,No,201_s,Unown S,
,FALSE,No,No,201_t,Unown T,
,FALSE,No,No,201_u,Unown U,
,FALSE,No,No,201_v,Unown V,
,FALSE,No,No,201_w,Unown W,
,FALSE,No,No,201_x,Unown X,
,FALSE,No,No,201_y,Unown Y,
,FALSE,No,No,201_z,Unown Z,
,FALSE,No,No,201_em,Unown !,
,FALSE,No,No,201_qm,Unown ?,
FALSE,FALSE,No,No,202_m,Wobbuffet ♂,0202
,FALSE,No,No,202_f,Wobbuffet ♀,
FALSE,FALSE,No,No,203_m,Girafarig ♂,0203
,FALSE,No,No,203_f,Girafarig ♀,
FALSE,FALSE,No,No,204,Pineco,0204
FALSE,FALSE,No,No,205,Forretress,0205
FALSE,FALSE,No,No,206,Dunsparce,0206
FALSE,FALSE,No,No,207_m,Gligar ♂,0207
,FALSE,No,No,207_f,Gligar ♀,
FALSE,FALSE,No,No,208_m,Steelix ♂,0208
,FALSE,No,No,208_f,Steelix ♀,
FALSE,FALSE,No,No,209,Snubbull,0209
FALSE,FALSE,No,No,210,Granbull,0210
FALSE,FALSE,No,No,211,Qwilfish,0211
,FALSE,No,No,211_h,Hisuian Qwilfish,
FALSE,FALSE,No,No,212_m,Scizor ♂,0212
,FALSE,No,No,212_f,Scizor ♀,
FALSE,FALSE,No,No,213,Shuckle,0213
FALSE,FALSE,No,No,214_m,Heracross ♂,0214
,FALSE,No,No,214_f,Heracross ♀,
FALSE,FALSE,No,No,215_m,Sneasel ♂,0215
,FALSE,No,No,215_f,Sneasel ♀,
,FALSE,No,No,215_hm,Hisuian Sneasel ♂,
,FALSE,No,No,215_hf,Hisuian Sneasel ♀,
FALSE,FALSE,No,No,216,Teddiursa,0216
FALSE,FALSE,No,No,217_m,Ursaring ♂,0217
,FALSE,No,No,217_f,Ursaring ♀,
FALSE,FALSE,No,No,218,Slugma,0218
FALSE,FALSE,No,No,219,Magcargo,0219
FALSE,FALSE,No,No,220,Swinub,0220
FALSE,FALSE,No,No,221_m,Piloswine ♂,0221
,FALSE,No,No,221_f,Piloswine ♀,
FALSE,FALSE,No,No,222,Corsola,0222
,FALSE,No,No,222_g,Galarian Corsola,
FALSE,FALSE,No,No,223,Remoraid,0223
FALSE,FALSE,No,No,224_m,Octillery ♂,0224
,FALSE,No,No,224_f,Octillery ♀,
FALSE,FALSE,No,No,225,Delibird,0225
FALSE,FALSE,No,No,226,Mantine,0226
FALSE,FALSE,No,No,227,Skarmory,0227
FALSE,FALSE,No,No,228,Houndour,0228
FALSE,FALSE,No,No,229_m,Houndoom ♂,0229
,FALSE,No,No,229_f,Houndoom ♀,
FALSE,FALSE,No,No,230,Kingdra,0230
FALSE,FALSE,No,No,231,Phanpy,0231
FALSE,FALSE,No,No,232_m,Donphan ♂,0232
,FALSE,No,No,232_f,Donphan ♀,
FALSE,FALSE,No,No,233,Porygon2,0233
FALSE,FALSE,No,No,234,Stantler,0234
FALSE,FALSE,No,No,235,Smeargle,0235
FALSE,FALSE,No,No,236,Tyrogue,0236
FALSE,FALSE,No,No,237,Hitmontop,0237
FALSE,FALSE,No,No,238,Smoochum,0238
FALSE,FALSE,No,No,239,Elekid,0239
FALSE,FALSE,No,No,240,Magby,0240
FALSE,FALSE,No,No,241,Miltank,0241
FALSE,FALSE,No,No,242,Blissey,0242
FALSE,FALSE,No,No,243,Raikou,0243
FALSE,FALSE,No,No,244,Entei,0244
FALSE,FALSE,No,No,245,Suicune,0245
FALSE,FALSE,No,No,246,Larvitar,0246
FALSE,FALSE,No,No,247,Pupitar,0247
FALSE,FALSE,No,No,248,Tyranitar,0248
FALSE,FALSE,No,No,249,Lugia,0249
FALSE,FALSE,No,No,250,Ho-Oh,0250
FALSE,FALSE,No,No,251,Celebi,0251
FALSE,FALSE,No,No,252,Treecko,0252
FALSE,FALSE,No,No,253,Grovyle,0253
FALSE,FALSE,No,No,254,Sceptile,0254
FALSE,FALSE,No,No,255_m,Torchic ♂,0255
,FALSE,No,No,255_f,Torchic ♀,
FALSE,FALSE,No,No,256_m,Combusken ♂,0256
,FALSE,No,No,256_f,Combusken ♀,
FALSE,FALSE,No,No,257_m,Blaziken ♂,0257
,FALSE,No,No,257_f,Blaziken ♀,
FALSE,FALSE,No,No,258,Mudkip,0258
FALSE,FALSE,No,No,259,Marshtomp,0259
FALSE,FALSE,No,No,260,Swampert,0260
FALSE,FALSE,No,No,261,Poochyena,0261
FALSE,FALSE,No,No,262,Mightyena,0262
FALSE,FALSE,No,No,263,Zigzagoon,0263
,FALSE,No,No,263_g,Galarian Zigzagoon,
FALSE,FALSE,No,No,264,Linoone,0264
,FALSE,No,No,264_g,Galarian Linoone,
FALSE,FALSE,No,No,265,Wurmple,0265
FALSE,FALSE,No,No,266,Silcoon,0266
FALSE,FALSE,No,No,267_m,Beautifly ♂,0267
,FALSE,No,No,267_f,Beautifly ♀,
FALSE,FALSE,No,No,268,Cascoon,0268
FALSE,FALSE,No,No,269_m,Dustox ♂,0269
,FALSE,No,No,269_f,Dustox ♀,
FALSE,FALSE,No,No,270,Lotad,0270
FALSE,FALSE,No,No,271,Lombre,0271
FALSE,FALSE,No,No,272_m,Ludicolo ♂,0272
,FALSE,No,No,272_f,Ludicolo ♀,
FALSE,FALSE,No,No,273,Seedot,0273
FALSE,FALSE,No,No,274_m,Nuzleaf ♂,0274
,FALSE,No,No,274_f,Nuzleaf ♀,
FALSE,FALSE,No,No,275_m,Shiftry ♂,0275
,FALSE,No,No,275_f,Shiftry ♀,
FALSE,FALSE,No,No,276,Taillow,0276
FALSE,FALSE,No,No,277,Swellow,0277
FALSE,FALSE,No,No,278,Wingull,0278
FALSE,FALSE,No,No,279,Pelipper,0279
FALSE,FALSE,No,No,280,Ralts,0280
FALSE,FALSE,No,No,281,Kirlia,0281
FALSE,FALSE,No,No,282,Gardevoir,0282
FALSE,FALSE,No,No,283,Surskit,0283
FALSE,FALSE,No,No,284,Masquerain,0284
FALSE,FALSE,No,No,285,Shroomish,0285
FALSE,FALSE,No,No,286,Breloom,0286
FALSE,FALSE,No,No,287,Slakoth,0287
FALSE,FALSE,No,No,288,Vigoroth,0288
FALSE,FALSE,No,No,289,Slaking,0289
FALSE,FALSE,No,No,290,Nincada,0290
FALSE,FALSE,No,No,291,Ninjask,0291
FALSE,FALSE,No,No,292,Shedinja,0292
FALSE,FALSE,No,No,293,Whismur,0293
FALSE,FALSE,No,No,294,Loudred,0294
FALSE,FALSE,No,No,295,Exploud,0295
FALSE,FALSE,No,No,296,Makuhita,0296
FALSE,FALSE,No,No,297,Hariyama,0297
FALSE,FALSE,No,No,298,Azurill,0298
FALSE,FALSE,No,No,299,Nosepass,0299
FALSE,FALSE,No,No,300,Skitty,0300
FALSE,FALSE,No,No,301,Delcatty,0301
FALSE,FALSE,No,No,302,Sableye,0302
FALSE,FALSE,No,No,303,Mawile,0303
FALSE,FALSE,No,No,304,Aron,0304
FALSE,FALSE,No,No,305,Lairon,0305
FALSE,FALSE,No,No,306,Aggron,0306
FALSE,FALSE,No,No,307_m,Meditite ♂,0307
,FALSE,No,No,307_f,Meditite ♀,
FALSE,FALSE,No,No,308_m,Medicham ♂,0308
,FALSE,No,No,308_f,Medicham ♀,
FALSE,FALSE,No,No,309,Electrike,0309
FALSE,FALSE,No,No,310,Manectric,0310
FALSE,FALSE,No,No,311,Plusle,0311
FALSE,FALSE,No,No,312,Minun,0312
FALSE,FALSE,No,No,313,Volbeat,0313
FALSE,FALSE,No,No,314,Illumise,0314
FALSE,FALSE,No,No,315_m,Roselia ♂,0315
,FALSE,No,No,315_f,Roselia ♀,
FALSE,FALSE,No,No,316_m,Gulpin ♂,0316
,FALSE,No,No,316_f,Gulpin ♀,
FALSE,FALSE,No,No,317_m,Swalot ♂,0317
,FALSE,No,No,317_f,Swalot ♀,
FALSE,FALSE,No,No,318,Carvanha,0318
FALSE,FALSE,No,No,319,Sharpedo,0319
FALSE,FALSE,No,No,320,Wailmer,0320
FALSE,FALSE,No,No,321,Wailord,0321
FALSE,FALSE,No,No,322_m,Numel ♂,0322
,FALSE,No,No,322_f,Numel ♀,
FALSE,FALSE,No,No,323_m,Camerupt ♂,0323
,FALSE,No,No,323_f,Camerupt ♀,
FALSE,FALSE,No,No,324,Torkoal,0324
FALSE,FALSE,No,No,325,Spoink,0325
FALSE,FALSE,No,No,326,Grumpig,0326
FALSE,FALSE,No,No,327,Spinda,0327
FALSE,FALSE,No,No,328,Trapinch,0328
FALSE,FALSE,No,No,329,Vibrava,0329
FALSE,FALSE,No,No,330,Flygon,0330
FALSE,FALSE,No,No,331,Cacnea,0331
FALSE,FALSE,No,No,332_m,Cacturne ♂,0332
,FALSE,No,No,332_f,Cacturne ♀,
FALSE,FALSE,No,No,333,Swablu,0333
FALSE,FALSE,No,No,334,Altaria,0334
FALSE,FALSE,No,No,335,Zangoose,0335
FALSE,FALSE,No,No,336,Seviper,0336
FALSE,FALSE,No,No,337,Lunatone,0337
FALSE,FALSE,No,No,338,Solrock,0338
FALSE,FALSE,No,No,339,Barboach,0339
FALSE,FALSE,No,No,340,Whiscash,0340
FALSE,FALSE,No,No,341,Corphish,0341
FALSE,FALSE,No,No,342,Crawdaunt,0342
FALSE,FALSE,No,No,343,Baltoy,0343
FALSE,FALSE,No,No,344,Claydol,0344
FALSE,FALSE,No,No,345,Lileep,0345
FALSE,FALSE,No,No,346,Cradily,0346
FALSE,FALSE,No,No,347,Anorith,0347
FALSE,FALSE,No,No,348,Armaldo,0348
FALSE,FALSE,No,No,349,Feebas,0349
FALSE,FALSE,No,No,350_m,Milotic ♂,0350
,FALSE,No,No,350_f,Milotic ♀,
FALSE,FALSE,No,No,351,Castform,0351
FALSE,FALSE,No,No,352,Kecleon,0352
FALSE,FALSE,No,No,353,Shuppet,0353
FALSE,FALSE,No,No,354,Banette,0354
FALSE,FALSE,No,No,355,Duskull,0355
FALSE,FALSE,No,No,356,Dusclops,0356
FALSE,FALSE,No,No,357,Tropius,0357
FALSE,FALSE,No,No,358,Chimecho,0358
FALSE,FALSE,No,No,359,Absol,0359
FALSE,FALSE,No,No,360,Wynaut,0360
FALSE,FALSE,No,No,361,Snorunt,0361
FALSE,FALSE,No,No,362,Glalie,0362
FALSE,FALSE,No,No,363,Spheal,0363
FALSE,FALSE,No,No,364,Sealeo,0364
FALSE,FALSE,No,No,365,Walrein,0365
FALSE,FALSE,No,No,366,Clamperl,0366
FALSE,FALSE,No,No,367,Huntail,0367
FALSE,FALSE,No,No,368,Gorebyss,0368
FALSE,FALSE,No,No,369_m,Relicanth ♂,0369
,FALSE,No,No,369_f,Relicanth ♀,
FALSE,FALSE,No,No,370,Luvdisc,0370
FALSE,FALSE,No,No,371,Bagon,0371
FALSE,FALSE,No,No,372,Shelgon,0372
FALSE,FALSE,No,No,373,Salamence,0373
FALSE,FALSE,No,No,374,Beldum,0374
FALSE,FALSE,No,No,375,Metang,0375
FALSE,FALSE,No,No,376,Metagross,0376
FALSE,FALSE,No,No,377,Regirock,0377
FALSE,FALSE,No,No,378,Regice,0378
FALSE,FALSE,No,No,379,Registeel,0379
FALSE,FALSE,No,No,380,Latias,0380
FALSE,FALSE,No,No,381,Latios,0381
FALSE,FALSE,No,No,382,Kyogre,0382
FALSE,FALSE,No,No,383,Groudon,0383
FALSE,FALSE,No,No,384,Rayqyaza,0384
FALSE,FALSE,No,No,385,Jirachi,0385
FALSE,FALSE,No,No,386_n,Normal Forme Deoxys,0386
,FALSE,No,No,386_a,Attack Forme Deoxys,
,FALSE,No,No,386_d,Defense Forme Deoxys,
,FALSE,No,No,386_s,Speed Forme Deoxys,
FALSE,FALSE,No,No,387,Turtwig,0387
FALSE,FALSE,No,No,388,Grotle,0388
FALSE,FALSE,No,No,389,Torterra,0389
FALSE,FALSE,No,No,390,Chimchar,0390
FALSE,FALSE,No,No,391,Monferno,0391
FALSE,FALSE,No,No,392,Infernape,0392
FALSE,FALSE,No,No,393,Piplup,0393
FALSE,FALSE,No,No,394,Prinplup,0394
FALSE,FALSE,No,No,395,Empoleon,0395
FALSE,FALSE,No,No,396_m,Starly ♂,0396
,FALSE,No,No,396_f,Starly ♀,
FALSE,FALSE,No,No,397_m,Staravia ♂,0397
,FALSE,No,No,397_f,Staravia ♀,
FALSE,FALSE,No,No,398_m,Staraptor ♂,0398
,FALSE,No,No,398_f,Staraptor ♀,
FALSE,FALSE,No,No,399_m,Bidoof ♂,0399
,FALSE,No,No,399_f,Bidoof ♀,
FALSE,FALSE,No,No,400_m,Bibarel ♂,0400
,FALSE,No,No,400_f,Bibarel ♀,
FALSE,FALSE,No,No,401_m,Kricketot ♂,0401
,FALSE,No,No,401_f,Kricketot ♀,
FALSE,FALSE,No,No,402_m,Kricketune ♂,0402
,FALSE,No,No,402_f,Kricketune ♀,
FALSE,FALSE,No,No,403_m,Shinx ♂,0403
,FALSE,No,No,403_f,Shinx ♀,
FALSE,FALSE,No,No,404_m,Luxio ♂,0404
,FALSE,No,No,404_f,Luxio ♀,
FALSE,FALSE,No,No,405_m,Luxray ♂,0405
,FALSE,No,No,405_f,Luxray ♀,
FALSE,FALSE,No,No,406,Budew,0406
FALSE,FALSE,No,No,407_m,Roserade ♂,0407
,FALSE,No,No,407_f,Roserade ♀,
