Shinydex,Shiny Formdex,Location pick,Location,ID,Pokemon,,#,Origin pick,Origin,Method,Streak,Ability,Nature,IVs,Ball pick,Ball,Gender,OT,OT ID,Origin mark pick,Origin Mark,Alpha / Gigantamax / Tera Type,Marks,Ribbons,,,Notes
,FALSE,No,No,19_a,,Alolan Rattata,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,20_m,,Raticate ♂,0020,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,20_f,,Raticate ♀,,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,20_a,,Alolan Raticate,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,21,,Spearow,0021,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,22,,Fearow,0022,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,23,,Ekans,0023,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,24,,Arbok,0024,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,25_m,,Pikachu ♂,0025,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,25_f,,Pikachu ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,26_m,,Raichu ♂,0026,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,26_f,,Raichu ♀,,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,26_a,,Alolan Raichu,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,27,,Sandshrew,0027,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,27_a,,Alolan Sandshrew,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,28,,Sandslash,0028,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,28_a,,Alolan Sandslash,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,29,,Nidoran♀,0029,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,30,,Nidorina,0030,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,31,,Nidoqueen,0031,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,32,,Nidoran♂,0032,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,33,,Nidorino,0033,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,34,,Nidoking,0034,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,35,,Clefairy,0035,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,36,,Clefable,0036,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,37,,Vulpix,0037,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,37_a,,Alolan Vulpix,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,38,,Ninetales,0038,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,38_a,,Alolan Ninetales,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,39,,Jigglypuff,0039,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,40,,Wigglytuff,0040,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,41_m,,Zubat ♂,0041,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,41_f,,Zubat ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,42_m,,Golbat ♂,0042,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,42_f,,Golbat ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,43,,Oddish,0043,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,44_m,,Gloom ♂,0044,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,44_f,,Gloom ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,45_m,,Vileplume ♂,0045,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,45_f,,Vileplume ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,46,,Paras,0046,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,47,,Parasect,0047,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,48,,Venonat,0048,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,49,,Venomoth,0049,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,50,,Diglett,0050,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,50_a,,Alolan Diglett,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,51,,Dugtrio,0051,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,51_a,,Alolan Dugtrio,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,52,,Meowth,0052,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,52_a,,Alolan Meowth,,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,52_g,,Galarian Meowth,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,53,,Persian,0053,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,53_a,,Alolan Persian,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,54,,Psyduck,0054,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,55,,Golduck,0055,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,56,,Mankey,0056,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,57,,Primeape,0057,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,58,,Growlithe,0058,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,58_h,,Hisuian Growlithe,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,59,,Arcanine,0059,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,59_h,,Hisuian Arcanine,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,60,,Poliwag,0060,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,61,,Poliwhirl,0061,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,62,,Poliwrath,0062,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,63,,Abra,0063,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,64_m,,Kadabra ♂,0064,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,64_f,,Kadabra ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,65_m,,Alakazam ♂,0065,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,65_f,,Alakazam ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,66,,Machop,0066,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,67,,Machoke,0067,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,68,,Machamp,0068,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,69,,Bellsprout,0069,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,70,,Weepinbell,0070,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,71,,Victreebel,0071,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,72,,Tentacool,0072,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,73,,Tentacruel,0073,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,74,,Geodude,0074,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,74_a,,Alolan Geodude,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,75,,Graveler,0075,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,75_a,,Alolan Graveler,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,76,,Golem,0076,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,76_a,,Alolan Golem,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,77,,Ponyta,0077,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,77_g,,Galarian Ponyta,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,78,,Rapidash,0078,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,78_g,,Galarian Rapidash,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,79,,Slowpoke,0079,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,79_g,,Galarian Slowpoke,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,80,,Slowbro,0080,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,80_g,,Galarian Slowbro,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,81,,Magnemite,0081,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,82,,Magneton,0082,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,83,,Farfetch'd,0083,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,83_g,,Galarian Farfetch'd,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,84_m,,Doduo ♂,0084,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,84_f,,Doduo ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,85_m,,Dodrio ♂,0085,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,85_f,,Dodrio ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,86,,Seel,0086,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,87,,Dewgong,0087,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,88,,Grimer,0088,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,88_a,,Alolan Grimer,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,89,,Muk,0089,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,89_a,,Alolan Muk,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,90,,Shellder,0090,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,91,,Cloyster,0091,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,92,,Gastly,0092,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,93,,Haunter,0093,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,94,,Gengar,0094,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,95,,Onix,0095,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,96,,Drowzee,0096,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,97_m,,Hypno ♂,0097,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,97_f,,Hypno ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,98,,Krabby,0098,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,99,,Kingler,0099,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,100,,Voltorb,0100,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,100_h,,Hisuian Voltorb,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,101,,Electrode,0101,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,101_h,,Hisuian Electrode,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,102,,Exeggcute,0102,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,103,,Exeggutor,0103,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,103_a,,Alolan Exeggutor,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,104,,Cubone,0104,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,105,,Marowak,0105,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,105_a,,Alolan Marowak,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,106,,Hitmonlee,0106,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,107,,Hitmonchan,0107,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,108,,Lickitung,0108,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,109,,Koffing,0109,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,110,,Weezing,0110,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,110_g,,Galarian Weezing,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,111_m,,Rhyhorn ♂,0111,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,111_f,,Rhyhorn ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,112_m,,Rhydon ♂,0112,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,112_f,,Rhydon ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,113,,Chansey,0113,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,114,,Tangela,0114,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,115,,Kangaskhan,0115,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,116,,Horsea,0116,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,117,,Seadra,0117,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,118_m,,Goldeen ♂,0118,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,118_f,,Goldeen ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,119_m,,Seaking ♂,0119,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,119_f,,Seaking ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,120,,Staryu,0120,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,121,,Starmie,0121,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,122,,Mr. Mime,0122,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,122_g,,Galarian Mr. Mime,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,123_m,,Scyther ♂,0123,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,123_f,,Scyther ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,124,,Jynx,0124,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,125,,Electabuzz,0125,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,126,,Magmar,0126,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,127,,Pinsir,0127,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,128,,Tauros,0128,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,128_p,,Paldean Tauros,,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,128_pb,,Paldean Blaze Tauros,,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,128_pa,,Paldean Aqua Tauros,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,129_m,,Magikarp ♂,0129,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,129_f,,Magikarp ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,130_m,,Gyarados ♂,0130,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,130_f,,Gyarados ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,131,,Lapras,0131,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,132,,Ditto,0132,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,133_m,,Eevee ♂,0133,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,133_f,,Eevee ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,134,,Vaporeon,0134,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,135,,Jolteon,0135,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,136,,Flareon,0136,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,137,,Porygon,0137,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,138,,Omanyte,0138,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,139,,Omastar,0139,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,140,,Kabuto,0140,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,141,,Kabutops,0141,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,142,,Aerodactyl,0142,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,143,,Snorlax,0143,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,144,,Articuno,0144,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,144_g,,Galarian Articuno,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,145,,Zapdos,0145,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,145_g,,Galarian Zapdos,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,146,,Moltres,0146,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,146_g,,Galarian Moltres,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,147,,Dratini,0147,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,148,,Dragonair,0148,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,149,,Dragonite,0149,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,150,,Mewtwo,0150,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,151,,Mew,0151,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,152,,Chikorita,0152,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,153,,Bayleef,0153,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,154_m,,Meganium ♂,0154,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,154_f,,Meganium ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,155,,Cyndaquil,0155,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,156,,Quilava,0156,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,157,,Typhlosion,0157,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,157_h,,Hisuian Typhlosion,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,158,,Totodile,0158,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,159,,Croconaw,0159,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,160,,Feraligatr,0160,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,161,,Sentret,0161,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,162,,Furret,0162,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,163,,Hoothoot,0163,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,164,,Noctowl,0164,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,165_m,,Ledyba ♂,0165,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,165_f,,Ledyba ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,166_m,,Ledian ♂,0166,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,166_f,,Ledian ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,167,,Spinarak,0167,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,168,,Ariados,0168,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,169,,Crobat,0169,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,170,,Chinchou,0170,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,171,,Lanturn,0171,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,172,,Pichu,0172,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,173,,Cleffa,0173,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,174,,Igglybuff,0174,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,175,,Togepi,0175,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,176,,Togetic,0176,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,177,,Natu,0177,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,178_m,,Xatu ♂,0178,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,178_f,,Xatu ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,179,,Mareep,0179,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,180,,Flaaffy,0180,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,181,,Ampharos,0181,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,182,,Bellossom,0182,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,183,,Marill,0183,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,184,,Azumarill,0184,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,185_m,,Sudowoodo ♂,0185,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,185_f,,Sudowoodo ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,186_m,,Politoed ♂,0186,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,186_f,,Politoed ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,187,,Hoppip,0187,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,188,,Skiploom,0188,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,189,,Jumpluff,0189,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,190_m,,Aipom ♂,0190,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,190_f,,Aipom ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,191,,Sunkern,0191,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,192,,Sunflora,0192,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,193,,Yanma,0193,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,194_m,,Wooper ♂,0194,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,194_f,,Wooper ♀,,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,194_p,,Paldean Wooper,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,195_m,,Quagsire ♂,0195,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,195_f,,Quagsire ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,196,,Espeon,0196,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,197,,Umbreon,0197,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,198_m,,Murkrow ♂,0198,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,198_f,,Murkrow ♀,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,199,,Slowking,0199,None,,,,,None,,None,,,,,None,,,,,,,
,FALSE,No,No,199_g,,Galarian Slowking,,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,200,,Misdreavus,0200,None,,,,,None,,None,,,,,None,,,,,,,
FALSE,FALSE,No,No,201_a,,Unown A,0201,None,,,,,None,,None,,,,,None,,,,,,,
